periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,11,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,230350,31775,7498,1,1,1
Q,U,S,11,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,253678,31686,5209,1,1,1
Q,U,S,11,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,1511,96,8012,9,9,9
Q,U,S,11,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,498,37,7267,9,9,9
Q,U,S,11,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,9231,2462,5123,1,1,1
Q,U,S,11,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,1617,458,4471,1,1,1
Q,U,S,11,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,723,72,9503,1,1,1
Q,U,S,11,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,405,49,11095,1,1,1
Q,U,S,11,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,3013,345,10380,1,1,1
Q,U,S,11,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,1734,227,9106,1,1,1
Q,U,S,11,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,9009,1386,3082,1,1,1
Q,U,S,11,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,9389,1513,2248,1,1,1
Q,U,S,11,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,4845,260,5903,9,1,9
Q,U,S,11,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,1873,138,5231,9,1,9
Q,U,S,11,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,11444,1009,10455,1,1,1
Q,U,S,11,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,8068,710,8285,1,1,1
Q,U,S,11,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,5517,559,21808,1,1,1
Q,U,S,11,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,6972,597,9226,1,1,1
Q,U,S,11,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,6048,549,8263,1,1,1
Q,U,S,11,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,3947,385,5166,1,1,1
Q,U,S,11,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,51505,6476,11797,1,1,1
Q,U,S,11,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,52216,5493,7925,1,1,1
Q,U,S,11,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,1278,96,30220,1,1,1
Q,U,S,11,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,994,74,11781,1,1,1
Q,U,S,11,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,22978,5730,4071,1,1,1
Q,U,S,11,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,21158,4748,3235,1,1,1
Q,U,S,11,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,21239,2958,5410,1,9,1
Q,U,S,11,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,29309,4490,4354,1,9,1
Q,U,S,11,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,16051,1606,5535,1,1,1
Q,U,S,11,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,39395,3934,3925,1,1,1
Q,U,S,11,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,2664,539,3784,1,1,1
Q,U,S,11,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,2874,565,2509,1,1,1
Q,U,S,11,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,28771,4804,2539,1,1,1
Q,U,S,11,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,24104,4118,2146,1,1,1
Q,U,S,11,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,25769,2709,7780,1,1,1
Q,U,S,11,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,39134,3953,5612,1,1,1
Q,U,S,11,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,8755,120,4846,9,9,9
Q,U,S,11,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,9994,197,4280,9,9,9
Q,U,S,11,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,239167,37333,7304,1,1,1
Q,U,S,11,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,260688,39532,5490,1,1,1
Q,U,S,11,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,1580,37,8435,9,9,9
Q,U,S,11,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,584,17,7118,9,9,9
Q,U,S,11,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,10450,3467,5468,1,1,1
Q,U,S,11,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,1907,501,4505,1,1,1
Q,U,S,11,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,748,63,7846,1,1,1
Q,U,S,11,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,408,46,8436,1,1,1
Q,U,S,11,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,3015,423,8168,1,1,1
Q,U,S,11,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,1660,237,6966,1,1,1
Q,U,S,11,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,9418,1745,3229,1,1,1
Q,U,S,11,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,9875,2196,2474,1,1,1
Q,U,S,11,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,3,4747,271,6338,9,1,9
Q,U,S,11,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,3,1890,131,5715,1,1,9
Q,U,S,11,S,51,A00,1,A00,A0,A0,E0,0,0,2011,3,11464,1080,9224,1,1,1
Q,U,S,11,S,51,A00,2,A00,A0,A0,E0,0,0,2011,3,8117,789,7413,1,1,1
Q,U,S,11,S,52,A00,1,A00,A0,A0,E0,0,0,2011,3,6681,638,14180,1,1,1
Q,U,S,11,S,52,A00,2,A00,A0,A0,E0,0,0,2011,3,7374,680,7681,1,1,1
Q,U,S,11,S,53,A00,1,A00,A0,A0,E0,0,0,2011,3,6352,773,7304,1,1,1
Q,U,S,11,S,53,A00,2,A00,A0,A0,E0,0,0,2011,3,4139,542,4902,1,1,1
Q,U,S,11,S,54,A00,1,A00,A0,A0,E0,0,0,2011,3,53219,6554,11507,1,1,1
Q,U,S,11,S,54,A00,2,A00,A0,A0,E0,0,0,2011,3,52838,6035,7887,1,1,1
Q,U,S,11,S,55,A00,1,A00,A0,A0,E0,0,0,2011,3,1288,101,13274,1,1,1
Q,U,S,11,S,55,A00,2,A00,A0,A0,E0,0,0,2011,3,1007,92,7784,1,1,1
Q,U,S,11,S,56,A00,1,A00,A0,A0,E0,0,0,2011,3,23376,6112,4287,1,1,1
Q,U,S,11,S,56,A00,2,A00,A0,A0,E0,0,0,2011,3,21425,6415,3431,1,1,1
Q,U,S,11,S,61,A00,1,A00,A0,A0,E0,0,0,2011,3,20378,3188,6047,1,1,1
Q,U,S,11,S,61,A00,2,A00,A0,A0,E0,0,0,2011,3,27561,5022,4979,1,1,1
Q,U,S,11,S,62,A00,1,A00,A0,A0,E0,0,0,2011,3,17455,2075,7169,1,1,1
Q,U,S,11,S,62,A00,2,A00,A0,A0,E0,0,0,2011,3,43707,5010,5557,1,1,1
Q,U,S,11,S,71,A00,1,A00,A0,A0,E0,0,0,2011,3,3659,644,4924,1,1,1
Q,U,S,11,S,71,A00,2,A00,A0,A0,E0,0,0,2011,3,3310,597,2507,1,1,1
Q,U,S,11,S,72,A00,1,A00,A0,A0,E0,0,0,2011,3,30649,6650,2688,1,1,1
Q,U,S,11,S,72,A00,2,A00,A0,A0,E0,0,0,2011,3,26347,6115,2312,1,1,1
Q,U,S,11,S,81,A00,1,A00,A0,A0,E0,0,0,2011,3,26373,3168,7561,1,1,1
Q,U,S,11,S,81,A00,2,A00,A0,A0,E0,0,0,2011,3,38984,4536,5760,1,1,1
Q,U,S,11,S,92,A00,1,A00,A0,A0,E0,0,0,2011,3,8313,344,5486,9,9,9
Q,U,S,11,S,92,A00,2,A00,A0,A0,E0,0,0,2011,3,9556,571,4865,9,9,9
Q,U,S,11,A,00,A00,1,A00,A0,A0,E0,0,0,2012,1,235588,32598,7867,1,1,1
Q,U,S,11,A,00,A00,2,A00,A0,A0,E0,0,0,2012,1,257915,32612,5528,1,1,1
Q,U,S,11,S,22,A00,1,A00,A0,A0,E0,0,0,2012,1,1547,41,8276,9,9,9
Q,U,S,11,S,22,A00,2,A00,A0,A0,E0,0,0,2012,1,583,19,8055,9,9,9
Q,U,S,11,S,23,A00,1,A00,A0,A0,E0,0,0,2012,1,10877,2698,5421,1,1,1
Q,U,S,11,S,23,A00,2,A00,A0,A0,E0,0,0,2012,1,1914,416,5048,1,1,1
Q,U,S,11,S,31-33,A00,1,A00,A0,A0,E0,0,0,2012,1,619,88,9790,1,1,1
Q,U,S,11,S,31-33,A00,2,A00,A0,A0,E0,0,0,2012,1,345,46,11079,1,1,1
Q,U,S,11,S,42,A00,1,A00,A0,A0,E0,0,0,2012,1,3036,496,10514,1,1,1
Q,U,S,11,S,42,A00,2,A00,A0,A0,E0,0,0,2012,1,1708,338,8853,1,1,1
Q,U,S,11,S,44-45,A00,1,A00,A0,A0,E0,0,0,2012,1,9464,1447,3296,1,1,1
Q,U,S,11,S,44-45,A00,2,A00,A0,A0,E0,0,0,2012,1,10203,1517,2452,1,1,1
Q,U,S,11,S,48-49,A00,1,A00,A0,A0,E0,0,0,2012,1,4708,290,6739,9,1,9
Q,U,S,11,S,48-49,A00,2,A00,A0,A0,E0,0,0,2012,1,1839,138,6014,9,1,1
Q,U,S,11,S,51,A00,1,A00,A0,A0,E0,0,0,2012,1,10577,1173,11080,1,1,1
Q,U,S,11,S,51,A00,2,A00,A0,A0,E0,0,0,2012,1,7765,890,8720,1,1,1
Q,U,S,11,S,52,A00,1,A00,A0,A0,E0,0,0,2012,1,7062,457,21962,1,1,1
Q,U,S,11,S,52,A00,2,A00,A0,A0,E0,0,0,2012,1,8191,541,10677,1,1,1
Q,U,S,11,S,53,A00,1,A00,A0,A0,E0,0,0,2012,1,6627,749,7765,1,1,1
Q,U,S,11,S,53,A00,2,A00,A0,A0,E0,0,0,2012,1,4278,530,5032,1,1,1
Q,U,S,11,S,54,A00,1,A00,A0,A0,E0,0,0,2012,1,52850,6347,12301,1,1,1
Q,U,S,11,S,54,A00,2,A00,A0,A0,E0,0,0,2012,1,52505,5265,8424,1,1,1
Q,U,S,11,S,55,A00,1,A00,A0,A0,E0,0,0,2012,1,1209,76,35139,1,1,1
Q,U,S,11,S,55,A00,2,A00,A0,A0,E0,0,0,2012,1,977,119,12340,1,1,1
Q,U,S,11,S,56,A00,1,A00,A0,A0,E0,0,0,2012,1,23646,5192,4160,1,1,1
Q,U,S,11,S,56,A00,2,A00,A0,A0,E0,0,0,2012,1,21187,4901,3496,1,1,1
Q,U,S,11,S,61,A00,1,A00,A0,A0,E0,0,0,2012,1,18276,3158,5186,1,9,1
Q,U,S,11,S,61,A00,2,A00,A0,A0,E0,0,0,2012,1,26011,4392,4300,1,9,1
Q,U,S,11,S,62,A00,1,A00,A0,A0,E0,0,0,2012,1,17452,1798,5857,1,1,1
Q,U,S,11,S,62,A00,2,A00,A0,A0,E0,0,0,2012,1,43322,4178,4459,1,1,1
Q,U,S,11,S,71,A00,1,A00,A0,A0,E0,0,0,2012,1,3321,596,6580,1,1,9
Q,U,S,11,S,71,A00,2,A00,A0,A0,E0,0,0,2012,1,3324,548,2504,1,1,1
Q,U,S,11,S,72,A00,1,A00,A0,A0,E0,0,0,2012,1,30095,5325,2622,1,1,1
Q,U,S,11,S,72,A00,2,A00,A0,A0,E0,0,0,2012,1,25832,4850,2213,1,1,1
Q,U,S,11,S,81,A00,1,A00,A0,A0,E0,0,0,2012,1,25904,2491,8174,1,1,1
Q,U,S,11,S,81,A00,2,A00,A0,A0,E0,0,0,2012,1,38354,3705,5920,1,1,1
Q,U,S,11,S,92,A00,1,A00,A0,A0,E0,0,0,2012,1,8319,176,4946,9,9,9
Q,U,S,11,S,92,A00,2,A00,A0,A0,E0,0,0,2012,1,9577,220,4436,9,9,9
Q,U,S,11,A,00,A00,1,A00,A0,A0,E0,0,0,2012,3,244279,36828,7070,1,1,1
Q,U,S,11,A,00,A00,2,A00,A0,A0,E0,0,0,2012,3,262432,38883,5219,1,1,1
Q,U,S,11,S,22,A00,1,A00,A0,A0,E0,0,0,2012,3,1634,25,8051,9,9,9
Q,U,S,11,S,22,A00,2,A00,A0,A0,E0,0,0,2012,3,634,22,6856,9,9,9
Q,U,S,11,S,23,A00,1,A00,A0,A0,E0,0,0,2012,3,12500,3074,5355,1,1,1
Q,U,S,11,S,23,A00,2,A00,A0,A0,E0,0,0,2012,3,2182,512,4402,1,1,1
Q,U,S,11,S,31-33,A00,1,A00,A0,A0,E0,0,0,2012,3,678,61,7488,1,1,1
Q,U,S,11,S,31-33,A00,2,A00,A0,A0,E0,0,0,2012,3,368,31,8395,1,1,1
Q,U,S,11,S,42,A00,1,A00,A0,A0,E0,0,0,2012,3,3203,370,8875,1,1,1
Q,U,S,11,S,42,A00,2,A00,A0,A0,E0,0,0,2012,3,1933,218,6951,1,1,1
Q,U,S,11,S,44-45,A00,1,A00,A0,A0,E0,0,0,2012,3,9826,1704,3251,1,1,1
Q,U,S,11,S,44-45,A00,2,A00,A0,A0,E0,0,0,2012,3,10250,2022,2511,1,1,1
Q,U,S,11,S,48-49,A00,1,A00,A0,A0,E0,0,0,2012,3,4992,503,6501,9,9,9
Q,U,S,11,S,48-49,A00,2,A00,A0,A0,E0,0,0,2012,3,1937,199,5751,9,1,9
Q,U,S,11,S,51,A00,1,A00,A0,A0,E0,0,0,2012,3,10694,792,9450,1,1,1
Q,U,S,11,S,51,A00,2,A00,A0,A0,E0,0,0,2012,3,7870,736,7560,1,1,1
Q,U,S,11,S,52,A00,1,A00,A0,A0,E0,0,0,2012,3,7116,667,12673,1,1,1
Q,U,S,11,S,52,A00,2,A00,A0,A0,E0,0,0,2012,3,8308,622,7310,1,1,1
Q,U,S,11,S,53,A00,1,A00,A0,A0,E0,0,0,2012,3,6559,741,6972,1,1,1
Q,U,S,11,S,53,A00,2,A00,A0,A0,E0,0,0,2012,3,4312,537,4575,1,1,1
Q,U,S,11,S,54,A00,1,A00,A0,A0,E0,0,0,2012,3,55726,6803,11260,1,1,1
Q,U,S,11,S,54,A00,2,A00,A0,A0,E0,0,0,2012,3,55214,5900,7833,1,1,1
Q,U,S,11,S,55,A00,1,A00,A0,A0,E0,0,0,2012,3,1188,68,13276,1,1,1
Q,U,S,11,S,55,A00,2,A00,A0,A0,E0,0,0,2012,3,992,77,8345,1,1,1
Q,U,S,11,S,56,A00,1,A00,A0,A0,E0,0,0,2012,3,24193,5777,4143,1,1,1
Q,U,S,11,S,56,A00,2,A00,A0,A0,E0,0,0,2012,3,21917,5996,3445,1,1,1
Q,U,S,11,S,61,A00,1,A00,A0,A0,E0,0,0,2012,3,17954,4212,5433,1,1,1
Q,U,S,11,S,61,A00,2,A00,A0,A0,E0,0,0,2012,3,25405,6198,4535,1,1,1
Q,U,S,11,S,62,A00,1,A00,A0,A0,E0,0,0,2012,3,16386,1687,5773,1,1,1
Q,U,S,11,S,62,A00,2,A00,A0,A0,E0,0,0,2012,3,39464,4306,4256,1,1,1
Q,U,S,11,S,71,A00,1,A00,A0,A0,E0,0,0,2012,3,3946,676,7644,1,1,9
Q,U,S,11,S,71,A00,2,A00,A0,A0,E0,0,0,2012,3,3492,644,2698,1,1,1
Q,U,S,11,S,72,A00,1,A00,A0,A0,E0,0,0,2012,3,32422,6365,2666,1,1,1
Q,U,S,11,S,72,A00,2,A00,A0,A0,E0,0,0,2012,3,28507,5947,2218,1,1,1
Q,U,S,11,S,81,A00,1,A00,A0,A0,E0,0,0,2012,3,27158,2928,7491,1,1,1
Q,U,S,11,S,81,A00,2,A00,A0,A0,E0,0,0,2012,3,40294,4371,5762,1,1,1
Q,U,S,11,S,92,A00,1,A00,A0,A0,E0,0,0,2012,3,8104,376,5103,9,9,9
Q,U,S,11,S,92,A00,2,A00,A0,A0,E0,0,0,2012,3,9353,545,4604,9,9,9
Q,U,S,11,A,00,A00,1,A00,A0,A0,E0,0,0,2013,1,241944,31087,7919,1,1,1
Q,U,S,11,A,00,A00,2,A00,A0,A0,E0,0,0,2013,1,263846,30489,5685,1,1,1
Q,U,S,11,S,22,A00,1,A00,A0,A0,E0,0,0,2013,1,1564,44,8685,9,9,9
Q,U,S,11,S,22,A00,2,A00,A0,A0,E0,0,0,2013,1,599,13,8290,9,9,9
Q,U,S,11,S,23,A00,1,A00,A0,A0,E0,0,0,2013,1,11391,2323,5241,1,1,1
Q,U,S,11,S,23,A00,2,A00,A0,A0,E0,0,0,2013,1,2039,420,4723,1,1,1
Q,U,S,11,S,31-33,A00,1,A00,A0,A0,E0,0,0,2013,1,656,77,10383,1,1,1
Q,U,S,11,S,31-33,A00,2,A00,A0,A0,E0,0,0,2013,1,327,32,13810,1,1,1
Q,U,S,11,S,42,A00,1,A00,A0,A0,E0,0,0,2013,1,3152,325,11396,1,1,1
Q,U,S,11,S,42,A00,2,A00,A0,A0,E0,0,0,2013,1,1821,200,10369,1,1,1
Q,U,S,11,S,44-45,A00,1,A00,A0,A0,E0,0,0,2013,1,9473,1382,3675,1,1,1
Q,U,S,11,S,44-45,A00,2,A00,A0,A0,E0,0,0,2013,1,10254,1565,2642,1,1,1
Q,U,S,11,S,48-49,A00,1,A00,A0,A0,E0,0,0,2013,1,5013,312,7124,9,1,9
Q,U,S,11,S,48-49,A00,2,A00,A0,A0,E0,0,0,2013,1,1978,135,6322,9,1,9
Q,U,S,11,S,51,A00,1,A00,A0,A0,E0,0,0,2013,1,10352,860,12876,1,1,1
Q,U,S,11,S,51,A00,2,A00,A0,A0,E0,0,0,2013,1,7645,741,9693,1,1,1
Q,U,S,11,S,52,A00,1,A00,A0,A0,E0,0,0,2013,1,6967,513,21883,1,1,1
Q,U,S,11,S,52,A00,2,A00,A0,A0,E0,0,0,2013,1,7973,507,10927,1,1,1
Q,U,S,11,S,53,A00,1,A00,A0,A0,E0,0,0,2013,1,6415,791,8588,1,1,1
Q,U,S,11,S,53,A00,2,A00,A0,A0,E0,0,0,2013,1,4124,518,5483,1,1,1
Q,U,S,11,S,54,A00,1,A00,A0,A0,E0,0,0,2013,1,53889,6342,11821,1,1,1
Q,U,S,11,S,54,A00,2,A00,A0,A0,E0,0,0,2013,1,53553,5689,8486,1,1,1
Q,U,S,11,S,55,A00,1,A00,A0,A0,E0,0,0,2013,1,1196,87,35710,1,1,1
Q,U,S,11,S,55,A00,2,A00,A0,A0,E0,0,0,2013,1,1009,99,13841,1,1,1
Q,U,S,11,S,56,A00,1,A00,A0,A0,E0,0,0,2013,1,24114,4976,4369,1,1,1
Q,U,S,11,S,56,A00,2,A00,A0,A0,E0,0,0,2013,1,21768,4799,3591,1,1,1
Q,U,S,11,S,61,A00,1,A00,A0,A0,E0,0,0,2013,1,22146,2239,5325,1,1,1
Q,U,S,11,S,61,A00,2,A00,A0,A0,E0,0,0,2013,1,31150,2697,4331,1,1,1
Q,U,S,11,S,62,A00,1,A00,A0,A0,E0,0,0,2013,1,17272,1478,5821,1,1,1
Q,U,S,11,S,62,A00,2,A00,A0,A0,E0,0,0,2013,1,42797,3390,4488,1,1,1
Q,U,S,11,S,71,A00,1,A00,A0,A0,E0,0,0,2013,1,3416,562,5744,1,1,1
Q,U,S,11,S,71,A00,2,A00,A0,A0,E0,0,0,2013,1,3317,541,2670,1,1,1
Q,U,S,11,S,72,A00,1,A00,A0,A0,E0,0,0,2013,1,30650,6144,2715,1,1,1
Q,U,S,11,S,72,A00,2,A00,A0,A0,E0,0,0,2013,1,26758,5529,2278,1,1,1
Q,U,S,11,S,81,A00,1,A00,A0,A0,E0,0,0,2013,1,26028,2424,8351,1,1,1
Q,U,S,11,S,81,A00,2,A00,A0,A0,E0,0,0,2013,1,37341,3379,6395,1,1,1
Q,U,S,11,S,92,A00,1,A00,A0,A0,E0,0,0,2013,1,8249,207,5072,9,9,9
Q,U,S,11,S,92,A00,2,A00,A0,A0,E0,0,0,2013,1,9391,234,4499,9,9,9
Q,U,S,11,A,00,A00,1,A00,A0,A0,E0,0,0,2013,3,253361,39423,7275,1,1,1
Q,U,S,11,A,00,A00,2,A00,A0,A0,E0,0,0,2013,3,272040,40966,5413,1,1,1
Q,U,S,11,S,22,A00,1,A00,A0,A0,E0,0,0,2013,3,1677,37,8147,9,9,9
Q,U,S,11,S,22,A00,2,A00,A0,A0,E0,0,0,2013,3,634,17,6919,9,9,9
Q,U,S,11,S,23,A00,1,A00,A0,A0,E0,0,0,2013,3,12619,3484,5333,1,1,1
